Treatment,Pop,GH.area,Mat.area,Dam,Plant_ID,SM_g,GR,FT,DTF,CW,ASD_S,ASD_L,ASD,SM.s,GR.s,CW.s,ASD.s,ORQFT,Index
Sel,PENN,AA,A1,101,101-1,0.037,0.44,303,207,33.61,-0.61,0.084,0.347,0.571332679,-0.578216746,-0.046686662,-3.25049273,2.898998593,1.915846621
Sel,PENN,AA,A1,101,101-10,0.035,0.56,289,193,38.37,-0.36,2.68,1.52,0.222642708,0.294108836,1.074820778,-0.310984741,1.747869291,-0.168917397
Sel,PENN,AA,A1,101,101-2,0.033,0.44,286,190,37.82,-0.42,2.91,1.665,-0.126047264,-0.578216746,0.945234835,0.052381549,1.419250753,-0.037849048
Sel,PENN,AA,A1,101,101-3,0.037,0.56,272,176,23.99,-2.58,1.55,2.065,0.571332679,0.294108836,-2.313262623,1.054771316,1.001057002,-1.652186683
Sel,PENN,AA,A1,101,101-4,0.033,0.67,289,193,36.03,0,3.45,1.725,-0.126047264,1.093740619,0.523491491,0.202740014,1.747869291,-1.270725612
Sel,PENN,AA,A1,101,101-5,0.041,0.67,286,190,37.18,0,2.59,1.295,1.268712622,1.093740619,0.794443918,-0.874828984,1.419250753,0.312024007
Sel,PENN,AA,A1,101,101-6,0.035,0.33,294,198,37.74,-0.26,2.9,1.58,0.222642708,-1.37784853,0.92638597,-0.160626276,2.251827465,0.397128625
Sel,PENN,AA,A1,101,101-7,0.035,0.44,290,194,37.18,0,2.59,1.295,0.222642708,-0.578216746,0.794443918,-0.874828984,1.878118196,0.594440557
Sel,PENN,AA,A1,101,101-8,0.037,0.67,266,170,37.97,0,4.44,2.22,0.571332679,1.093740619,0.980576456,1.44319735,0.798764866,-1.430547602
Sel,PENN,AA,A1,101,101-9,0.035,0.44,286,190,37.93,0,2.98,1.49,0.222642708,-0.578216746,0.971152023,-0.386163973,1.419250753,0.442643178
Sel,PENN,AA,A1,102,102-1,0.039,0.22,296,200,33.57,0,2.57,1.285,0.920022651,-2.177480313,-0.056111094,-0.899888728,2.421838569,1.352450445
Sel,PENN,AA,A1,102,102-10,0.036,0.56,288,192,40.97,-0.56,2.24,1.4,0.396987693,0.294108836,1.687408876,-0.611701671,1.615401951,0.335823293
Sel,PENN,AA,A1,102,102-2,0.041,0.44,289,193,33.57,0,3.49,1.745,1.268712622,-0.578216746,-0.056111094,0.252859503,1.747869291,0.034252665
Sel,PENN,AA,A1,102,102-3,0.038,0.44,288,192,38.89,-0.46,2.37,1.415,0.745677665,-0.578216746,1.197338398,-0.574112054,1.615401951,0.796071989
Sel,PENN,AA,A1,102,102-4,0.033,0.44,295,199,46.27,-0.64,2.96,1.8,-0.126047264,-0.578216746,2.936146152,0.390688096,2.351103457,-0.095338459
Sel,PENN,AA,A1,102,102-5,0.036,0.44,288,192,38.02,-0.36,2.82,1.59,0.396987693,-0.578216746,0.992356996,-0.135566532,1.615401951,0.268575407
Sel,PENN,AA,A1,102,102-6,0.036,0.44,291,195,37.67,-0.16,3.57,1.865,0.396987693,-0.578216746,0.909893214,0.553576433,1.967424428,-0.386709958
Sel,PENN,AA,A1,102,102-7,0.037,0.44,271,175,25.14,0.24,4.97,2.605,0.571332679,-0.578216746,-2.042310195,2.4079975,0.964927376,-2.100696208
Sel,PENN,AA,A1,102,102-8,0.035,0.56,287,191,39.83,-0.36,2.82,1.59,0.222642708,0.294108836,1.418812556,-0.135566532,1.51930766,-0.127133983
Sel,PENN,AA,A1,102,102-9,0.032,0.44,293,197,39.57,-0.33,2.19,1.26,-0.30039225,-0.578216746,1.357553747,-0.962538089,2.170770486,0.478489354
Sel,PENN,AA,A1,103,103-1,0.034,0.44,292,196,38.55,0,3.43,1.715,0.048297722,-0.578216746,1.117230724,0.17768027,2.070863555,-0.241253404
Sel,PENN,AA,A1,103,103-10,0.036,0.56,262,166,29.98,-1.81,1.8,1.805,0.396987693,0.294108836,-0.90195389,0.403217968,0.636321107,-0.746262856
Sel,PENN,AA,A1,103,103-2,0.037,0.56,287,191,35.77,0,2.12,1.06,0.571332679,0.294108836,0.462232681,-1.463732972,1.51930766,0.752348849
Sel,PENN,AA,A1,103,103-3,0.039,0.78,284,188,36.73,-0.12,2.35,1.235,0.920022651,1.893372403,0.688419055,-1.025187449,1.309237517,-0.143538214
Sel,PENN,AA,A1,103,103-4,0.034,0.56,293,197,37.71,0,3.12,1.56,0.048297722,0.294108836,0.919317646,-0.210745764,2.170770486,-0.508585544
Sel,PENN,AA,A1,103,103-5,0.034,0.67,285,189,36.9,-0.58,1.34,0.96,0.048297722,1.093740619,0.728472893,-1.714330413,1.343150612,0.417034075
Sel,PENN,AA,A1,103,103-7,0.036,0.67,287,191,39.16,-0.42,2.13,1.275,0.396987693,1.093740619,1.260953316,-0.924948473,1.51930766,0.061358099
Sel,PENN,AA,A1,103,103-8,0.035,0.78,277,181,36.41,-0.32,3.37,1.845,0.222642708,1.893372403,0.613023597,0.503456944,1.094471489,-1.515689957
Sel,PENN,AA,A1,103,103-9,0.033,0.56,286,190,34.1,-0.68,2.68,1.68,-0.126047264,0.294108836,0.068762634,0.089971166,1.419250753,-0.762460592
Sel,PENN,AA,A1,104,104-1,0.04,0.33,291,195,31.58,-0.52,3.36,1.94,1.094367636,-1.37784853,-0.524976599,0.741524514,1.967424428,-0.17452728
Sel,PENN,AA,A1,104,104-2,0.029,0.56,289,193,41.42,0,2.8,1.4,-0.823427207,0.294108836,1.793433739,-0.611701671,1.747869291,-0.207832963
Sel,PENN,AA,A1,104,104-3,0.044,0.44,270,174,38.01,-0.78,4.77,2.775,1.791747579,-0.578216746,0.990000888,2.834013151,0.935451918,-1.084302514
Sel,PENN,AA,A1,104,104-4,0.034,0.67,285,189,42.18,-0.39,2.28,1.335,0.048297722,1.093740619,1.972497952,-0.774590008,1.343150612,0.049686337
Sel,PENN,AA,A1,104,104-5,0.035,0.56,268,172,30.06,-0.6,3.61,2.105,0.222642708,0.294108836,-0.883105026,1.155010292,0.890956071,-1.461628108
Sel,MARY,AA,A1,208,208-1,0.042,0.22,172,76,29.99,-1.34,1.62,1.48,1.443057608,-2.177480313,-0.899597782,-0.411223717,-0.56329576,2.053095481
Sel,MARY,AA,A1,208,208-10,0.038,0.56,157,61,34.02,-1.52,2.53,2.025,0.745677665,0.294108836,0.049913769,0.954532339,-1.691289789,0.071407716
Sel,MARY,AA,A1,208,208-2,0.035,0.22,160,64,34.36,-1.18,1.72,1.45,0.222642708,-2.177480313,0.130021443,-0.48640295,-1.058871293,2.030006832
Sel,MARY,AA,A1,208,208-3,0.032,0.33,158,62,37.11,-0.79,2.15,1.47,-0.30039225,-1.37784853,0.777951162,-0.436283462,-1.409682012,1.634742707
Sel,MARY,AA,A1,208,208-4,0.034,0.44,156,60,32.82,-1.76,1.31,1.535,0.048297722,-0.578216746,-0.232819199,-0.273395125,-2.112682138,1.220303294
Sel,MARY,AA,A1,208,208-5,0.032,0.44,157,61,34.47,-1.64,2.2,1.92,-0.30039225,-0.578216746,0.155938632,0.691405025,-1.691289789,0.310713021
Sel,MARY,AA,A1,208,208-6,0.037,0.33,157,61,28.99,-1.42,2.21,1.815,0.571332679,-1.37784853,-1.135208589,0.428277712,-1.691289789,0.968630425
Sel,MARY,AA,A1,208,208-7,0.035,0.44,158,62,34.77,-0.98,2.22,1.6,0.222642708,-0.578216746,0.226621874,-0.110506788,-1.409682012,1.04638273
Sel,MARY,AA,A1,208,208-8,0.036,0.56,157,61,33.22,-0.94,2.77,1.855,0.396987693,0.294108836,-0.138574876,0.528516688,-1.691289789,0.186632453
Sel,MARY,AA,A1,208,208-9,0.034,0.56,156,60,32.5,-0.87,1.73,1.3,0.048297722,0.294108836,-0.308214657,-0.862299112,-2.112682138,1.168577272
Sel,MARY,AA,A1,209,209-1,0.032,0.44,159,63,32.75,-0.9,2.95,1.925,-0.30039225,-0.578216746,-0.249311956,0.703934897,-1.208243346,0.023865376
Sel,MARY,AA,A1,209,209-10,0.031,0.44,170,74,36.75,-1.34,1.72,1.53,-0.474737235,-0.578216746,0.693131272,-0.285924997,-0.649300555,0.72911679
Sel,MARY,AA,A1,209,209-2,0.035,0.44,157,61,34.23,-1.85,2.58,2.215,0.222642708,-0.578216746,0.099392038,1.430667478,-1.691289789,-0.025201431
Sel,MARY,AA,A1,209,209-3,0.035,0.33,171,75,33.66,-1.21,2.34,1.775,0.222642708,-1.37784853,-0.034906121,0.328038735,-0.619179906,0.801596664
Sel,MARY,AA,A1,209,209-4,0.035,0.44,158,62,33.59,-1.77,2.64,2.205,0.222642708,-0.578216746,-0.051398878,1.405607734,-1.409682012,-0.14609668
Sel,MARY,AA,A1,209,209-5,0.034,0.56,160,64,33.64,-1.31,2.03,1.67,0.048297722,0.294108836,-0.039618338,0.064911422,-1.058871293,0.180905029
Sel,MARY,AA,A1,209,209-6,0.032,0.33,170,74,28.89,-0.82,1.32,1.07,-0.30039225,-1.37784853,-1.15876967,-1.438673228,-0.649300555,1.596998529
Sel,MARY,AA,A1,209,209-7,0.035,0.33,157,61,33.96,-1.2,2.09,1.645,0.222642708,-1.37784853,0.035777121,0.002262061,-1.691289789,1.440717181
Sel,MARY,AA,A1,209,209-8,0.039,0.56,156,60,33.81,-1.5,3.08,2.29,0.920022651,0.294108836,0.0004355,1.618615559,-2.112682138,-0.207642081
Sel,MARY,AA,A1,209,209-9,0.031,0.56,158,62,31.32,-2.03,2.14,2.085,-0.474737235,0.294108836,-0.586235409,1.104890804,-1.409682012,-0.830957207
